,company,type,rating,reviewers,age,highly_ratedFOR,critically_ratedFOR
3765,Zeta,Emerging Technologies ,3.4,207 Reviews,9 years old,"Work Satisfaction, Work Life Balance, Promotions / Appraisal",
3766,GMR Energy,Power ,4.4,206 Reviews,28 years old,"Job Security, Skill Development / Learning, Work Satisfaction",
3767,Cyber Infrastructure,IT Services & Consulting ,3.4,206 Reviews,21 years old,"Salary & Benefits, Promotions / Appraisal, Job Security",
3768,Billabong High International School,Education & Training ,3.8,205 Reviews,15 years old,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",
3769,Swiss Re,Insurance ,4.0,205 Reviews,161 years old,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
3770,Ace Designers,Industrial Machinery ,4.1,204 Reviews,45 years old,"Skill Development / Learning, Work Life Balance, Job Security",
3771,Mitsubishi Elevators,Industrial Machinery ,4.1,204 Reviews,93 years old,"Job Security, Work Life Balance",
3772,OneAssist Consumer Solutions,Financial Services ,4.2,204 Reviews,13 years old,"Company Culture, Skill Development / Learning, Salary & Benefits",
3773,Dvara KGFS,NBFC ,4.1,204 Reviews,16 years old,"Skill Development / Learning, Job Security, Company Culture",
3774,Brinton Pharmaceuticals,Pharma ,4.2,204 Reviews,10 years old,"Salary & Benefits, Skill Development / Learning, Job Security",
3775,AISECT,Education & Training ,3.8,203 Reviews,39 years old,"Work Life Balance, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
3776,Liberty Shoes,Fashion & Textile ,3.9,203 Reviews,70 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
3777,Malabar Group Of Companies,Jewellery ,3.8,203 Reviews,31 years old,Job Security,Promotions / Appraisal
3778,Classcanyon,Education & Training ,4.6,203 Reviews,3 years old,"Skill Development / Learning, Promotions / Appraisal, Work Life Balance",
3779,Su-Kam Power Systems,Power ,3.4,202 Reviews,36 years old,"Job Security, Promotions / Appraisal, Company Culture",
3780,Fidelis Technology Services,IT Services & Consulting ,4.0,224 Reviews,14 years old,"Work Life Balance, Company Culture, Work Satisfaction",
3781,Automotive Robotics (India),Industrial Automation ,3.6,209 Reviews,23 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
3782,Navi Technologies,FinTech ,2.7,209 Reviews,6 years old,"Job Security, Company Culture, Work Life Balance",
3783,Indifi Technologies,Financial Services ,3.9,209 Reviews,9 years old,Company Culture,Promotions / Appraisal
3784,Jain University,Education & Training ,3.8,208 Reviews,15 years old,"Promotions / Appraisal, Company Culture, Work Satisfaction",
3785,Enphase Energy,Power ,3.1,208 Reviews,18 years old,"Promotions / Appraisal, Work Life Balance, Company Culture",
3786,Alivira Animal Health,Pharma ,3.6,207 Reviews,10 years old,"Promotions / Appraisal, Work Satisfaction, Job Security",
3787,Lucas Indian Service,Auto Components ,3.7,207 Reviews,94 years old,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
3788,Hudson's Bay Company,Retail ,4.0,207 Reviews,354 years old,"Work Life Balance, Company Culture, Salary & Benefits","Job Security, Promotions / Appraisal"
3789,TATWA Technologies,IT Services & Consulting ,3.6,206 Reviews,22 years old,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",
3790,SMR Automotive Systems India,Auto Components ,4.0,206 Reviews,89 years old,"Job Security, Skill Development / Learning",Promotions / Appraisal
3791,FUJIFILM,Animation & VFX ,4.0,206 Reviews,16 years old,"Salary & Benefits, Work Life Balance",
3792,Inventys Research,Chemicals ,4.2,205 Reviews,18 years old,"Skill Development / Learning, Salary & Benefits, Work Satisfaction",
3793,Sanjeev Auto Parts Manufacturers,Auto Components ,4.3,205 Reviews,36 years old,"Skill Development / Learning, Company Culture, Work Life Balance",
3794,Verzeo,EdTech ,2.8,205 Reviews,6 years old,"Job Security, Salary & Benefits, Work Satisfaction",
3795,Sakata Inx,Chemicals ,4.1,204 Reviews,104 years old,"Job Security, Skill Development / Learning, Salary & Benefits",
3796,Clifford Chance,Legal ,3.7,204 Reviews,17 years old,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
3797,Rainbow Hospital,Healthcare ,3.9,204 Reviews,25 years old,Promotions / Appraisal,
3798,Mitsui O.S.K. Lines,Ports & Shipping ,4.0,203 Reviews,140 years old,"Job Security, Work Life Balance, Company Culture",
3799,Taco Bell,Hospitality ,4.3,203 Reviews,62 years old,"Salary & Benefits, Skill Development / Learning, Company Culture",
3800,ITCONS e-Solutions,IT Services & Consulting ,3.6,202 Reviews,17 years old,"Promotions / Appraisal, Salary & Benefits",
3801,Mindfire Solutions,Software Product ,4.1,202 Reviews,25 years old,"Work Life Balance, Company Culture, Job Security",
3802,Dee Vee Projects,Engineering & Construction ,3.9,201 Reviews,35 years old,"Promotions / Appraisal, Job Security",
3803,Saurav Chemicals,Pharma ,3.8,201 Reviews,33 years old,Promotions / Appraisal,
3804,Javi Systems,IT Services & Consulting ,3.8,201 Reviews,17 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
3805,Geo Chem Laboratories,Industrial Machinery ,4.0,201 Reviews,60 years old,Skill Development / Learning,"Salary & Benefits, Promotions / Appraisal"
3806,Indo German Tool Room,Government ,3.9,198 Reviews,29 years old,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
3807,Advanced Micro Devices,Semiconductors ,4.0,206 Reviews,55 years old,"Work Life Balance, Company Culture",Promotions / Appraisal
3808,IndustryBuying.com,Import & Export ,3.1,204 Reviews,11 years old,"Job Security, Promotions / Appraisal, Work Satisfaction",
3809,Técnicas Reunidas,Engineering & Construction ,4.2,204 Reviews,52 years old,"Work Life Balance, Company Culture, Salary & Benefits",
3810,Essar Power,Power ,4.4,203 Reviews,27 years old,"Job Security, Work Life Balance, Company Culture",Salary & Benefits
3811,PaySquare Consultancy,Recruitment ,4.1,203 Reviews,24 years old,"Job Security, Skill Development / Learning, Work Satisfaction","Salary & Benefits, Promotions / Appraisal"
3812,Modi Mundi Pharma,Pharma ,4.0,202 Reviews,34 years old,"Work Life Balance, Company Culture, Skill Development / Learning",
3813,Zamil Air Conditioners,Consumer Electronics & Appliances ,4.1,202 Reviews,50 years old,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal
3814,Poonawalla Housing Finance,Financial Services ,3.7,202 Reviews,,"Company Culture, Promotions / Appraisal, Work Life Balance",
3815,Innoviti Technologies Private Limited,FinTech ,3.5,201 Reviews,16 years old,"Job Security, Promotions / Appraisal, Company Culture",
3816,Indo Amines,Chemicals ,3.2,201 Reviews,45 years old,"Job Security, Company Culture, Promotions / Appraisal",
3817,Amcor Flexibles India,Packaging ,3.7,201 Reviews,160 years old,Job Security,
3818,Adani Gas,Oil & Gas ,3.6,201 Reviews,20 years old,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
3819,Born Group,Marketing & Advertising ,3.7,201 Reviews,13 years old,"Promotions / Appraisal, Work Satisfaction",
3820,Innoviti Technologies Private Limited,FinTech ,3.5,201 Reviews,16 years old,"Job Security, Promotions / Appraisal, Company Culture",
3821,Amcor Flexibles India,Packaging ,3.7,201 Reviews,160 years old,Job Security,
3822,ICICI Foundation for Inclusive Growth,Non-Profit ,4.0,200 Reviews,16 years old,"Promotions / Appraisal, Job Security",
3823,Reliable Autotech,Auto Components ,4.2,200 Reviews,39 years old,"Company Culture, Skill Development / Learning, Job Security",
3824,Ivy Hospital,Healthcare ,3.7,199 Reviews,16 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
3825,Arabtec Construction,Engineering & Construction ,4.6,198 Reviews,49 years old,"Work Satisfaction, Company Culture, Work Life Balance",
3826,Hyundai Heavy Industries,,4.2,193 Reviews,52 years old,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
3827,Allegis Global Solutions,Recruitment ,3.6,208 Reviews,23 years old,"Promotions / Appraisal, Job Security, Work Satisfaction",
3828,Kapston Services,Recruitment ,4.6,207 Reviews,,"Work Life Balance, Company Culture, Work Satisfaction",
3829,ITM Group of Institutions,Education & Training ,4.1,206 Reviews,33 years old,"Job Security, Work Life Balance, Skill Development / Learning",
3830,Edureka,EdTech ,3.5,205 Reviews,13 years old,"Promotions / Appraisal, Job Security, Work Satisfaction",
3831,VIKRAN Engineering & Exim,Engineering & Construction ,4.2,205 Reviews,16 years old,"Work Life Balance, Salary & Benefits, Company Culture",
3832,Axis Finance,NBFC ,4.1,204 Reviews,29 years old,"Salary & Benefits, Job Security, Work Life Balance",
3833,AGI Glaspac,Packaging ,3.7,203 Reviews,52 years old,Job Security,"Company Culture, Work Satisfaction, Promotions / Appraisal"
3834,ShipRocket,Internet ,3.4,203 Reviews,12 years old,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",
3835,NXP Semiconductors,Semiconductors ,3.9,203 Reviews,55 years old,"Work Life Balance, Company Culture",
3836,Walsons Facility Solutions,Recruitment ,4.0,202 Reviews,28 years old,Promotions / Appraisal,
3837,Webkul Software,IT Services & Consulting ,3.8,202 Reviews,14 years old,"Skill Development / Learning, Job Security, Company Culture",
3838,Ck Birla Hospitals,Healthcare ,4.2,202 Reviews,55 years old,"Skill Development / Learning, Work Life Balance, Salary & Benefits",
3839,Softtek,IT Services & Consulting ,3.9,201 Reviews,42 years old,"Company Culture, Work Life Balance",Promotions / Appraisal
3840,Vision Express,Retail ,4.2,201 Reviews,16 years old,"Skill Development / Learning, Salary & Benefits, Job Security",
3841,Nuance Transcription Services,IT Services & Consulting ,4.1,200 Reviews,25 years old,"Salary & Benefits, Work Life Balance, Company Culture","Job Security, Promotions / Appraisal"
3842,Uniinfo Telecom Services,Telecom ,4.0,200 Reviews,14 years old,"Work Satisfaction, Skill Development / Learning",
3843,Bharat Institutions,Education & Training ,3.9,199 Reviews,23 years old,"Skill Development / Learning, Work Satisfaction, Company Culture",
3844,Panzer Technologies,IT Services & Consulting ,4.8,199 Reviews,18 years old,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
3845,Smc Insurance Brokers,Insurance ,4.0,199 Reviews,34 years old,Work Life Balance,
3846,Metawallah,Internet ,4.9,199 Reviews,3 years old,"Salary & Benefits, Work Life Balance, Skill Development / Learning",
3847,PreludeSys,IT Services & Consulting ,3.3,198 Reviews,25 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
3848,Maharishi Vidya Mandir,Education & Training ,4.3,197 Reviews,41 years old,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
3849,GITAM University,Education & Training ,4.0,202 Reviews,44 years old,"Work Life Balance, Skill Development / Learning, Job Security",Promotions / Appraisal
3850,Trantor,IT Services & Consulting ,3.5,202 Reviews,12 years old,"Promotions / Appraisal, Skill Development / Learning, Job Security",
3851,Naandi Foundation,Non-Profit ,4.0,202 Reviews,26 years old,"Skill Development / Learning, Work Satisfaction, Company Culture","Job Security, Promotions / Appraisal"
3852,Cargo Service Center India,Logistics ,3.8,201 Reviews,30 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
3853,Tata Play Fiber,Broadcasting ,4.3,201 Reviews,,"Salary & Benefits, Skill Development / Learning, Company Culture",
3854,Sterling Talent Solutions,Internet ,3.9,200 Reviews,49 years old,"Job Security, Promotions / Appraisal",
3855,Anglo-Eastern Ship Management,Ports & Shipping ,3.8,200 Reviews,50 years old,"Job Security, Skill Development / Learning, Company Culture",
3856,Amrutanjan Health Care,Pharma ,3.8,200 Reviews,131 years old,Promotions / Appraisal,
3857,Indian Institute of Science,Education & Training ,4.4,199 Reviews,115 years old,"Skill Development / Learning, Work Life Balance, Work Satisfaction",Promotions / Appraisal
3858,Perkins,Engineering & Construction ,4.6,199 Reviews,92 years old,"Company Culture, Work Life Balance, Skill Development / Learning",
3859,Bravura Solutions,Software Product ,4.1,199 Reviews,20 years old,"Work Life Balance, Company Culture, Job Security",
3860,ONPASSIVE,IT Services & Consulting ,3.5,208 Reviews,6 years old,"Promotions / Appraisal, Job Security, Work Satisfaction",
3861,Nuclear Power Corporation of India,Power ,4.1,206 Reviews,37 years old,"Job Security, Salary & Benefits, Work Life Balance",
3862,Ceat Specialty Tyres,Auto Components ,4.0,203 Reviews,100 years old,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
3863,TITAGARH WAGONS,Industrial Machinery ,3.2,203 Reviews,26 years old,"Company Culture, Work Life Balance, Promotions / Appraisal",
3864,Accurate Global Alliances,Recruitment ,4.7,203 Reviews,12 years old,"Company Culture, Skill Development / Learning, Work Life Balance",
3865,Adda 247,EdTech ,3.4,202 Reviews,8 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
3866,Livguard Energy Technologies,Power ,4.3,200 Reviews,10 years old,"Job Security, Company Culture, Work Life Balance",
3867,Autocomp Corporation Panse,Auto Components ,3.5,200 Reviews,41 years old,"Promotions / Appraisal, Company Culture, Work Satisfaction",
3868,Qentelli,IT Services & Consulting ,4.0,200 Reviews,9 years old,"Company Culture, Work Life Balance, Skill Development / Learning",
3869,Bliss Gvs Pharma,Pharma ,3.9,199 Reviews,40 years old,"Job Security, Salary & Benefits",
3870,Organic India,FMCG ,4.2,199 Reviews,27 years old,"Work Life Balance, Company Culture, Skill Development / Learning",
3871,Jodas Expoim,Pharma ,3.6,199 Reviews,18 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
3872,Civica India,IT Services & Consulting ,4.1,199 Reviews,23 years old,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
3873,BMW,Automobile ,4.3,199 Reviews,108 years old,"Work Life Balance, Skill Development / Learning, Work Satisfaction",
3874,Gujarat State Fertilizers & Chemicals,Agro Chemicals ,4.5,199 Reviews,62 years old,"Job Security, Work Life Balance, Company Culture",
3875,Kusum Healthcare,Pharma ,4.0,198 Reviews,27 years old,"Work Life Balance, Job Security, Company Culture",
3876,Fingent,Software Product ,4.5,198 Reviews,21 years old,"Job Security, Company Culture, Work Satisfaction",
3877,Bazar India,Retail ,3.9,198 Reviews,9 years old,,
3878,Sears Holdings,Retail ,3.7,197 Reviews,15 years old,Work Life Balance,"Promotions / Appraisal, Job Security, Work Satisfaction"
3879,Sistema Shyam Teleservices,Telecom ,4.8,197 Reviews,29 years old,"Work Life Balance, Work Satisfaction, Salary & Benefits",
3880,Amentum,Defence & Aerospace ,4.0,193 Reviews,,"Work Life Balance, Company Culture, Skill Development / Learning",
3881,NIKE,Retail ,4.3,203 Reviews,60 years old,"Company Culture, Work Life Balance, Work Satisfaction",
3882,Clean Harbors,IT Services & Consulting ,3.5,202 Reviews,44 years old,"Promotions / Appraisal, Skill Development / Learning, Company Culture",
3883,R.K.M Powergen,Power ,4.0,202 Reviews,20 years old,"Promotions / Appraisal, Company Culture, Salary & Benefits",
3884,Avalara Technologies,FinTech ,4.1,201 Reviews,20 years old,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
3885,Tata nexarc,IT Services & Consulting ,3.3,198 Reviews,4 years old,"Promotions / Appraisal, Job Security, Work Satisfaction",
3886,ITC Limited - Paperboards Specialty Papers Division,Packaging ,3.9,197 Reviews,,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
3887,Praxair,Chemicals ,4.3,197 Reviews,117 years old,"Company Culture, Skill Development / Learning, Salary & Benefits",
3888,Costa Cruise Lines,Travel & Tourism ,4.3,197 Reviews,76 years old,"Skill Development / Learning, Job Security, Company Culture",
3889,PrimeXBT,FinTech ,4.7,196 Reviews,6 years old,"Job Security, Salary & Benefits, Work Life Balance",
3890,Autometers Alliance,Electronics Manufacturing ,4.5,195 Reviews,65 years old,"Work Life Balance, Job Security, Company Culture",
3891,Control Print,Consumer Electronics & Appliances ,3.9,195 Reviews,33 years old,"Promotions / Appraisal, Work Satisfaction",
3892,Rajasthan Patrika,Broadcasting ,3.2,194 Reviews,68 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
3893,TimesPro,Education & Training ,3.4,206 Reviews,11 years old,"Promotions / Appraisal, Job Security, Work Satisfaction",
3894,Rubicon Research,Clinical Research ,3.4,200 Reviews,25 years old,"Promotions / Appraisal, Company Culture, Salary & Benefits",
3895,KiwiTech,IT Services & Consulting ,3.5,200 Reviews,15 years old,"Job Security, Promotions / Appraisal, Salary & Benefits",
3896,Jayashree Polymers,Auto Components ,3.6,199 Reviews,40 years old,"Promotions / Appraisal, Company Culture, Salary & Benefits",
3897,The Fern Residency,Hospitality ,4.0,198 Reviews,15 years old,"Promotions / Appraisal, Salary & Benefits",
3898,Balaji Enterprises,Real Estate ,4.2,198 Reviews,33 years old,"Company Culture, Work Satisfaction, Skill Development / Learning",
3899,Mantri Developers,Real Estate ,3.6,197 Reviews,25 years old,"Promotions / Appraisal, Work Satisfaction, Company Culture",
3900,Tokai Rubber Auto Parts India,Industrial Machinery ,3.7,197 Reviews,16 years old,"Promotions / Appraisal, Skill Development / Learning, Job Security",
3901,Toyota Tsusho,Metals & Mining ,4.1,197 Reviews,25 years old,"Job Security, Skill Development / Learning, Salary & Benefits",
3902,Mantri Developers,Real Estate ,3.6,197 Reviews,25 years old,"Promotions / Appraisal, Work Satisfaction, Company Culture",
3903,Ciron Drugs & Pharmaceuticals,Healthcare ,3.3,197 Reviews,34 years old,"Job Security, Company Culture, Salary & Benefits",
3904,Jaguar Land Rover,Automobile ,4.1,196 Reviews,102 years old,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
3905,Atibir Industries,Iron & Steel ,3.7,196 Reviews,24 years old,"Salary & Benefits, Promotions / Appraisal, Company Culture",
3906,U R Rao Satellite Centre,,4.5,196 Reviews,,"Work Life Balance, Work Satisfaction, Company Culture",
3907,United India Insurance Company,Insurance ,4.3,195 Reviews,86 years old,"Job Security, Work Life Balance, Work Satisfaction",
3908,AYN InfoTech,IT Services & Consulting ,4.7,195 Reviews,15 years old,"Work Life Balance, Job Security, Salary & Benefits",
3909,Skillmine Technology Consulting,IT Services & Consulting ,4.0,200 Reviews,13 years old,"Work Life Balance, Job Security, Salary & Benefits",
3910,Smartworks,Real Estate ,3.4,199 Reviews,8 years old,"Promotions / Appraisal, Company Culture, Job Security",
3911,Gravita,Metals & Mining ,4.3,198 Reviews,32 years old,"Job Security, Work Life Balance, Skill Development / Learning",
3912,Pinkerton,Law Enforcement & Security ,3.9,198 Reviews,174 years old,"Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
3913,Clove Dental,Healthcare ,3.6,198 Reviews,13 years old,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
3914,Casio India Company,Consumer Electronics & Appliances ,2.8,198 Reviews,28 years old,"Promotions / Appraisal, Skill Development / Learning, Company Culture",
3915,VISA Steel,Iron & Steel ,3.9,197 Reviews,28 years old,Work Life Balance,"Job Security, Salary & Benefits, Promotions / Appraisal"
3916,Box8,Hospitality ,3.6,196 Reviews,13 years old,"Work Life Balance, Job Security, Company Culture",
3917,Motorola,Consumer Electronics & Appliances ,4.1,195 Reviews,96 years old,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
3918,TATA Advanced Materials,Defence & Aerospace ,4.0,195 Reviews,34 years old,Skill Development / Learning,"Salary & Benefits, Promotions / Appraisal, Work Life Balance"
3919,Delphi Automotive Systems,Auto Components ,3.9,195 Reviews,30 years old,"Company Culture, Work Satisfaction, Salary & Benefits",
3920,Sanmarg Projects,Oil & Gas ,4.3,194 Reviews,17 years old,"Work Life Balance, Company Culture, Skill Development / Learning",
3921,Newgen Knowledge Works,Printing & Publishing ,3.4,194 Reviews,28 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
3922,Garden Silk Mills,Fashion & Textile ,4.0,193 Reviews,45 years old,"Job Security, Work Life Balance, Work Satisfaction",Promotions / Appraisal
3923,Sel Manufacturing Co.,Fashion & Textile ,3.6,193 Reviews,55 years old,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
3924,National Insurance Company,Insurance ,4.2,191 Reviews,118 years old,"Work Life Balance, Job Security, Work Satisfaction",
3925,Shaw Toyota,Automobile ,4.9,216 Reviews,7 years old,"Company Culture, Skill Development / Learning, Work Satisfaction",
3926,Zee Media Corporation,Media & Entertainment ,3.6,199 Reviews,25 years old,"Job Security, Promotions / Appraisal, Skill Development / Learning",
3927,Perfios Software Solutions,FinTech ,4.2,199 Reviews,16 years old,"Job Security, Company Culture, Skill Development / Learning",
3928,Fresenius Medical Care,Healthcare ,3.9,198 Reviews,28 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
3929,Azentio,Software Product ,3.2,198 Reviews,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
3930,Envestnet Asset Management,Financial Services ,3.9,197 Reviews,25 years old,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
3931,11:11 Systems,IT Services & Consulting ,4.1,196 Reviews,56 years old,"Work Life Balance, Salary & Benefits, Company Culture","Job Security, Promotions / Appraisal"
3932,Excelra Knowledge Solutions,IT Services & Consulting ,3.8,196 Reviews,8 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
3933,Vitesco Technologies,Auto Components ,4.3,196 Reviews,19 years old,"Company Culture, Work Life Balance, Job Security",
3934,PIT Solutions,IT Services & Consulting ,4.4,195 Reviews,24 years old,"Work Life Balance, Company Culture, Job Security",
3935,Kotak Mahindra General Insurance,Insurance ,3.8,195 Reviews,9 years old,Job Security,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
3936,Adroit Synergies,BPO ,3.3,195 Reviews,9 years old,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",
3937,Zen3 Info Solutions,IT Services & Consulting ,4.1,194 Reviews,2024 years old,"Work Life Balance, Company Culture",Promotions / Appraisal
3938,Vcs Quality Services,Oil & Gas ,4.3,194 Reviews,22 years old,"Skill Development / Learning, Company Culture, Work Satisfaction",
3939,Talwalkars Better value Fitness,Fitness & Wellness ,4.1,194 Reviews,92 years old,"Skill Development / Learning, Work Life Balance, Company Culture",Job Security
3940,High Street Essentials,Retail ,4.3,193 Reviews,,"Work Life Balance, Company Culture, Work Satisfaction",
3941,Neon Laboratories,Pharma ,3.8,193 Reviews,42 years old,"Job Security, Work Life Balance, Company Culture",
3942,e-Procurement Technologies,IT Services & Consulting ,3.4,192 Reviews,18 years old,"Salary & Benefits, Company Culture, Promotions / Appraisal",
3943,Danieli,Industrial Machinery ,3.8,192 Reviews,110 years old,"Promotions / Appraisal, Company Culture",
3944,MJ Biopharm,Pharma ,3.8,198 Reviews,37 years old,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",
3945,CallHealth,Healthcare ,3.7,197 Reviews,11 years old,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
3946,Wellness Forever Lifestyle Chemist,Retail ,4.1,196 Reviews,,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal
3947,Super Auto Forge,Industrial Machinery ,3.8,196 Reviews,49 years old,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
3948,Vasta Global,,3.8,196 Reviews,,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
3949,Central Institute of Plastics Engineering & Technology,Education & Training ,3.9,195 Reviews,56 years old,Skill Development / Learning,Promotions / Appraisal
3950,R L Fine Chem,Pharma ,3.7,195 Reviews,40 years old,"Promotions / Appraisal, Company Culture, Salary & Benefits",
3951,RASI SEEDS,Agriculture ,4.4,195 Reviews,51 years old,"Job Security, Skill Development / Learning, Company Culture",
3952,Sales India,Retail ,4.2,195 Reviews,53 years old,"Work Satisfaction, Skill Development / Learning, Salary & Benefits",
3953,SSF PLASTICS,Petrochemicals ,4.0,194 Reviews,18 years old,"Promotions / Appraisal, Job Security, Company Culture",
3954,Shivani Locks,Industrial Machinery ,3.8,194 Reviews,36 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
3955,Aachi Foods,FMCG ,4.1,193 Reviews,29 years old,Job Security,
3956,GEETANJALI HOMESTATE,Real Estate ,4.2,193 Reviews,11 years old,"Skill Development / Learning, Company Culture, Promotions / Appraisal",
3957,Solitaire World,Real Estate ,4.0,193 Reviews,38 years old,"Company Culture, Salary & Benefits, Skill Development / Learning",
3958,Kent plc,Oil & Gas ,4.4,193 Reviews,105 years old,"Company Culture, Skill Development / Learning, Work Satisfaction",
3959,Zee Learn,Education & Training ,3.8,193 Reviews,8 years old,Job Security,Promotions / Appraisal
3960,Niine,Beauty & Personal Care ,3.9,192 Reviews,6 years old,Salary & Benefits,Job Security
3961,LiquidHub,IT Services & Consulting ,3.8,192 Reviews,23 years old,"Job Security, Work Life Balance","Salary & Benefits, Promotions / Appraisal"
3962,Basicfirst Learning,EdTech ,3.5,192 Reviews,6 years old,Job Security,
3963,Vacmet India,Packaging ,4.3,191 Reviews,31 years old,"Job Security, Work Life Balance, Work Satisfaction",
3964,Amazon Distributors,,4.1,191 Reviews,,"Skill Development / Learning, Work Life Balance, Salary & Benefits",
3965,Government of West Bengal,Government ,3.6,191 Reviews,77 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
3966,Rooman Technologies,Education & Training ,3.0,191 Reviews,25 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
3967,Lumino Industries,Electrical Equipment ,3.7,195 Reviews,35 years old,"Promotions / Appraisal, Company Culture, Work Satisfaction",
3968,SMS Group,Industrial Machinery ,4.4,195 Reviews,153 years old,"Work Life Balance, Job Security, Company Culture",
3969,National Institute of Technology,Education & Training ,4.2,195 Reviews,17 years old,"Work Life Balance, Skill Development / Learning, Work Satisfaction",
3970,Sanoh,Auto Components ,4.2,194 Reviews,85 years old,"Job Security, Work Life Balance, Company Culture",
3971,RNF Technologies,IT Services & Consulting ,4.0,194 Reviews,15 years old,"Work Life Balance, Company Culture, Job Security",
3972,Model N,Software Product ,4.7,194 Reviews,25 years old,"Company Culture, Work Life Balance, Job Security",
3973,Ninestars Information Technologies,IT Services & Consulting ,3.4,194 Reviews,25 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
3974,Intersoft Data Labs,IT Services & Consulting ,3.7,194 Reviews,21 years old,"Work Life Balance, Salary & Benefits","Job Security, Skill Development / Learning, Promotions / Appraisal"
3975,Aujas Cybersecurity,Software Product ,3.9,194 Reviews,16 years old,"Job Security, Skill Development / Learning, Salary & Benefits",
3976,Synergy Property Development Services,Real Estate ,3.8,192 Reviews,21 years old,,
3977,Wirtgen India,Industrial Machinery ,4.2,192 Reviews,63 years old,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal
3978,Balajee Group,Engineering & Construction ,3.8,191 Reviews,21 years old,,
3979,Netaxis IT Solutions,IT Services & Consulting ,4.1,191 Reviews,24 years old,"Skill Development / Learning, Promotions / Appraisal, Work Satisfaction",
3980,Chandan Steel,Metals & Mining ,3.5,191 Reviews,55 years old,"Salary & Benefits, Promotions / Appraisal, Company Culture",
3981,NGA HR,BPO ,3.9,190 Reviews,55 years old,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
3982,Muthoot Housing Finance Company,NBFC ,4.2,194 Reviews,14 years old,"Skill Development / Learning, Work Life Balance, Job Security",
3983,Immacule Life Sciences,Pharma ,4.1,194 Reviews,12 years old,"Skill Development / Learning, Job Security, Promotions / Appraisal",
3984,Manipal University,Education & Training ,4.0,193 Reviews,71 years old,"Job Security, Work Life Balance",Promotions / Appraisal
3985,Scaleneworks,Recruitment ,3.5,193 Reviews,14 years old,"Job Security, Promotions / Appraisal, Work Satisfaction",
3986,HOLITECH INDIA,Electronics Manufacturing ,3.9,193 Reviews,,"Skill Development / Learning, Job Security, Company Culture",
3987,Hiranandani Financial Services,NBFC ,4.2,193 Reviews,7 years old,"Company Culture, Job Security, Work Life Balance",
3988,Sajjan India,Chemicals ,3.8,192 Reviews,119 years old,"Job Security, Promotions / Appraisal, Company Culture",
