,company,type,rating,reviewers,age,highly_ratedFOR,critically_ratedFOR
1792,Damco Solutions,IT Services & Consulting ,4.2,416 Reviews,28 years old,"Job Security, Company Culture, Work Life Balance",
1793,National Payments Corporation of India,FinTech ,3.9,436 Reviews,14 years old,"Job Security, Skill Development / Learning, Work Satisfaction",
1794,Capco Technologies,IT Services & Consulting ,3.7,418 Reviews,26 years old,Work Life Balance,"Promotions / Appraisal, Job Security, Work Satisfaction"
1795,Marelli,Auto Components ,3.8,413 Reviews,105 years old,Work Life Balance,Promotions / Appraisal
1796,Schoolnet India,EdTech ,3.8,411 Reviews,27 years old,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Job Security"
1797,DeHaat,Agriculture ,3.7,420 Reviews,5 years old,"Job Security, Promotions / Appraisal",
1798,Continental,Auto Components ,4.0,419 Reviews,153 years old,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
1799,Bahwan CyberTek,IT Services & Consulting ,4.0,415 Reviews,25 years old,"Company Culture, Work Life Balance, Work Satisfaction",
1800,FinThrive,Software Product ,3.8,413 Reviews,21 years old,Promotions / Appraisal,
1801,Anlitiks,,4.8,410 Reviews,,"Company Culture, Work Life Balance, Job Security",
1802,Gandhi Automations,Industrial Machinery ,4.0,423 Reviews,28 years old,"Salary & Benefits, Job Security, Skill Development / Learning",
1803,Al Turki Enterprises,Oil & Gas ,3.7,410 Reviews,19 years old,"Promotions / Appraisal, Company Culture, Salary & Benefits",
1804,DHL Global Forwarding,Logistics ,4.2,417 Reviews,209 years old,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
1805,Baker Hughes,Oil & Gas ,4.1,415 Reviews,8 years old,"Company Culture, Work Life Balance, Salary & Benefits",
1806,Pace Setters Business Solutions,BPO ,3.3,411 Reviews,18 years old,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",
1807,Etech Global Services,BPO ,4.4,411 Reviews,27 years old,"Job Security, Company Culture, Work Satisfaction",
1808,Kirloskar Pneumatic,Industrial Machinery ,4.2,416 Reviews,66 years old,"Job Security, Company Culture, Work Life Balance",
1809,AT&T,Telecom ,4.1,413 Reviews,41 years old,"Salary & Benefits, Work Life Balance, Company Culture",
1810,RAK Ceramics,Building Material ,4.0,409 Reviews,35 years old,"Skill Development / Learning, Job Security",Promotions / Appraisal
1811,Nexdigm,Management Consulting ,3.5,430 Reviews,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
1812,Maersk Line,Logistics ,4.3,411 Reviews,120 years old,"Work Life Balance, Company Culture, Salary & Benefits",
